Incidence Rate Report by State

"Brain & ONS (All Stages^), 2017-2021"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

Compared by Sex

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,5.3 ,5.3, 5.4,N/A , N/A , N/A,10021,falling,-2.1 ,-3.2, -1.3
"Vermont(6)",50000,6.5 ,5.3, 7.9,1 , 1 , 44,25,stable,0.0 ,-3.5, 3.3
"Montana(6)",30000,6.3 ,5.4, 7.3,2 , 1 , 41,41,stable,0.5 ,-0.9, 2.0
"Nebraska(6)",31000,6.3 ,5.6, 7,3 , 1 , 32,68,stable,-0.4 ,-11.6, 2.4
"New Hampshire(6)",33000,6.3 ,5.5, 7.1,4 , 1 , 36,54,stable,0.1 ,-1.1, 1.3
"Maine(6)",23000,6.2 ,5.4, 7.1,5 , 1 , 37,54,stable,0.1 ,-1.4, 1.6
"Kentucky(7)",21000,6.1 ,5.7, 6.5,6 , 1 , 27,160,stable,0.3 ,-0.3, 1.0
"Connecticut(7)",09000,5.9 ,5.5, 6.4,7 , 1 , 32,132,stable,-0.1 ,-0.6, 0.4
"Utah(7)",49000,5.9 ,5.4, 6.5,8 , 1 , 37,91,stable,-0.4 ,-1.1, 0.5
"Alabama(6)",01000,5.9 ,5.5, 6.3,9 , 2 , 31,179,stable,0.1 ,-0.9, 1.1
"West Virginia(6)",54000,5.9 ,5.2, 6.6,10 , 1 , 42,65,stable,-0.6 ,-2.0, 0.7
"New Jersey(7)",34000,5.8 ,5.5, 6.1,11 , 2 , 28,321,stable,-0.3 ,-0.8, 0.2
"Delaware(6)",10000,5.8 ,5, 6.8,12 , 1 , 47,37,stable,0.1 ,-1.3, 1.6
"Wisconsin(6)",55000,5.8 ,5.5, 6.2,13 , 2 , 31,204,stable,-0.5 ,-1.5, 0.4
"Rhode Island(6)",44000,5.8 ,5, 6.7,14 , 1 , 47,40,stable,0.1 ,-1.2, 1.3
"Ohio(6)",39000,5.8 ,5.5, 6.1,15 , 4 , 28,408,stable,-0.2 ,-0.9, 0.4
"Washington(5)",53000,5.8 ,5.5, 6.1,16 , 3 , 31,246,falling,-0.7 ,-1.3, -0.2
"Iowa(7)",19000,5.8 ,5.3, 6.3,17 , 1 , 38,106,falling,-8.1 ,-15.5, -0.6
"Pennsylvania(6)",42000,5.8 ,5.5, 6,18 , 5 , 29,462,falling,-0.5 ,-0.9, -0.1
"Missouri(6)",29000,5.7 ,5.3, 6.1,19 , 3 , 35,207,stable,-0.7 ,-1.4, 0.0
"Minnesota(6)",27000,5.7 ,5.3, 6.1,20 , 3 , 37,182,stable,-2.2 ,-5.9, 0.0
"Arkansas(6)",05000,5.7 ,5.2, 6.2,21 , 2 , 41,103,stable,0.1 ,-1.3, 1.5
"Florida(6)",12000,5.7 ,5.5, 5.9,22 , 7 , 29,772,falling,-0.4 ,-0.7, -0.1
"Tennessee(6)",47000,5.6 ,5.3, 6,23 , 4 , 35,226,stable,-0.4 ,-1.4, 0.6
"Kansas(6)",20000,5.6 ,5.1, 6.2,24 , 2 , 42,91,stable,0.2 ,-1.4, 1.9
"Wyoming(6)",56000,5.6 ,4.4, 6.9,25 , 1 , 49,18,stable,0.2 ,-2.2, 2.6
"Idaho(7)",16000,5.5 ,4.9, 6.2,26 , 2 , 47,57,stable,-0.9 ,-2.3, 0.5
"Colorado(6)",08000,5.4 ,5.1, 5.8,27 , 7 , 42,169,falling,-0.9 ,-1.7, -0.1
"Massachusetts(7)",25000,5.4 ,5.1, 5.8,28 , 8 , 42,226,falling,-8.8 ,-15.1, -2.7
