Incidence Rate Report by State

"Brain & ONS (All Stages^), 2017-2021"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

Compared by Sex

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,7.4 ,7.4, 7.5,N/A , N/A , N/A,12878,falling,-1.8 ,-2.3, -1.2
"New Hampshire(6)",33000,8.8 ,7.8, 9.8,1 , 1 , 31,71,stable,-0.1 ,-1.5, 1.2
"Vermont(6)",50000,8.6 ,7.3, 10.1,2 , 1 , 46,34,stable,-0.4 ,-2.5, 1.8
"Washington(5)",53000,8.5 ,8.1, 8.9,3 , 1 , 17,348,stable,-0.3 ,-0.7, 0.2
"Maine(6)",23000,8.4 ,7.5, 9.4,4 , 1 , 39,71,stable,-1.2 ,-2.6, 0.2
"Kentucky(7)",21000,8.4 ,7.9, 8.9,5 , 1 , 24,203,stable,-1.3 ,-4.9, 0.0
"Montana(6)",30000,8.4 ,7.3, 9.5,6 , 1 , 43,53,stable,-0.9 ,-2.2, 0.5
"Connecticut(7)",09000,8.4 ,7.8, 9,7 , 1 , 26,165,stable,-0.3 ,-0.7, 0.1
"Minnesota(6)",27000,8.3 ,7.9, 8.8,8 , 1 , 23,259,stable,0.5 ,-0.4, 1.5
"Utah(7)",49000,8.3 ,7.7, 9,9 , 1 , 31,125,stable,0.1 ,-0.4, 0.8
"Idaho(7)",16000,8.2 ,7.4, 9.1,10 , 1 , 40,79,stable,-0.3 ,-1.2, 0.7
"Pennsylvania(6)",42000,8.1 ,7.8, 8.5,11 , 2 , 22,595,stable,-0.2 ,-0.7, 0.4
"Nebraska(6)",31000,8.1 ,7.3, 8.9,12 , 1 , 41,84,stable,-0.3 ,-1.1, 0.5
"Wisconsin(6)",55000,8 ,7.6, 8.5,13 , 2 , 29,267,stable,-0.4 ,-1.4, 0.5
"Massachusetts(7)",25000,7.9 ,7.5, 8.3,14 , 4 , 34,297,stable,-0.7 ,-1.5, 0.0
"Florida(6)",12000,7.9 ,7.6, 8.1,15 , 8 , 26,999,stable,-0.4 ,-0.7, 0.0
"Rhode Island(6)",44000,7.8 ,6.8, 9,16 , 1 , 48,46,falling,-2.2 ,-3.9, -0.6
"Iowa(7)",19000,7.8 ,7.3, 8.5,17 , 2 , 40,140,stable,-0.4 ,-0.9, 0.2
"Ohio(6)",39000,7.8 ,7.5, 8.1,18 , 7 , 33,500,stable,-4.7 ,-10.4, 0.1
"West Virginia(6)",54000,7.8 ,7, 8.6,19 , 1 , 45,83,stable,-0.7 ,-1.8, 0.4
"Oregon(6)",41000,7.8 ,7.2, 8.3,20 , 4 , 39,185,stable,-0.8 ,-1.6, 0.1
"Missouri(6)",29000,7.7 ,7.3, 8.1,21 , 6 , 39,260,stable,-0.2 ,-0.9, 0.5
"North Dakota(6)",38000,7.7 ,6.5, 9,22 , 1 , 49,32,stable,-0.3 ,-2.2, 1.8
"New Jersey(7)",34000,7.6 ,7.3, 8,23 , 9 , 38,378,falling,-0.8 ,-1.3, -0.4
"Alaska(6)",02900,7.6 ,6.3, 9,24 , 1 , 49,29,stable,-0.4 ,-3.2, 2.7
"North Carolina(6)",37000,7.5 ,7.2, 7.9,25 , 11 , 39,413,stable,-0.6 ,-1.2, 0.1
"Tennessee(6)",47000,7.5 ,7.1, 7.9,26 , 11 , 41,278,stable,-1.0 ,-6.0, 0.3
"Alabama(6)",01000,7.5 ,7, 7.9,27 , 9 , 43,202,stable,-0.3 ,-1.1, 0.5
"Arkansas(6)",05000,7.4 ,6.8, 8.1,28 , 6 , 46,123,stable,0.0 ,-0.8, 0.9
"New York(7)",36000,7.3 ,7.1, 7.6,29 , 19 , 41,786,falling,-0.6 ,-1.1, -0.2
"Oklahoma(6)",40000,7.3 ,6.8, 7.9,30 , 10 , 46,152,stable,-0.8 ,-1.6, 0.0
"Michigan(6)",26000,7.3 ,7, 7.6,31 , 17 , 44,408,falling,-1.0 ,-1.6, -0.3
"Illinois(7)",17000,7.3 ,7, 7.6,32 , 18 , 43,492,stable,-0.2 ,-0.6, 0.2
"Maryland(6)",24000,7.3 ,6.8, 7.7,33 , 14 , 45,232,stable,-0.3 ,-1.6, 1.0
"Arizona(6)",04000,7.2 ,6.8, 7.6,34 , 17 , 46,285,falling,-0.8 ,-1.3, -0.2
"South Carolina(6)",45000,7.2 ,6.7, 7.6,35 , 16 , 47,206,stable,-0.7 ,-1.5, 0.1
"South Dakota(6)",46000,7.1 ,6.1, 8.3,36 , 2 , 50,33,stable,-1.5 ,-3.9, 0.9
"Kansas(6)",20000,7.1 ,6.5, 7.7,37 , 12 , 48,114,falling,-1.3 ,-2.1, -0.5
"Colorado(6)",08000,7.1 ,6.7, 7.5,38 , 18 , 47,216,stable,-0.7 ,-1.7, 0.3
"Texas(7)",48000,7.1 ,6.9, 7.3,39 , 26 , 44,992,falling,-0.8 ,-1.1, -0.6
"Delaware(6)",10000,7 ,6, 8.1,40 , 3 , 50,38,stable,-2.6 ,-20.3, 2.6
"California(7)",06000,6.9 ,6.8, 7.1,41 , 32 , 46,1422,falling,-0.5 ,-0.8, -0.3
"Virginia(6)",51000,6.9 ,6.6, 7.3,42 , 25 , 48,315,stable,-0.7 ,-1.5, 0.2
"Louisiana(7)",22000,6.7 ,6.2, 7.2,43 , 27 , 49,166,stable,-0.5 ,-1.0, 0.0
"Mississippi(6)",28000,6.7 ,6.1, 7.3,44 , 23 , 49,105,stable,-0.1 ,-1.0, 0.9
"Georgia(7)",13000,6.7 ,6.3, 7,45 , 34 , 49,353,falling,-2.1 ,-7.8, -0.6
"District of Columbia(6)",11001,6.5 ,5.3, 8,46 , 3 , 50,20,*,*,*,*
"Nevada(6)",32000,6.4 ,5.8, 6.9,47 , 32 , 50,106,stable,-0.9 ,-2.0, 0.3
"New Mexico(7)",35000,6.3 ,5.7, 7,48 , 28 , 50,74,stable,-0.6 ,-1.3, 0.2
"Wyoming(6)",56000,6.1 ,4.9, 7.5,49 , 11 , 50,20,falling,-2.3 ,-4.4, -0.2
"Hawaii(7)",15000,5.3 ,4.6, 6.1,50 , 46 , 50,43,stable,-0.2 ,-1.0, 0.7
"Puerto Rico(6)",72001,4.7 ,4.2, 5.2,N/A , N/A , N/A,75,falling,-2.2 ,-10.0, -0.5
"Indiana(6)",18000,data not available ,data not available, data not available,N/A , N/A , N/A,data not available,data not available,data not available,data not available,data not available

Created by statecancerprofiles.cancer.gov on 11/17/2025 10:58 pm.

State Cancer Registries may provide more current or more local data.
"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) Summary/Historic Combined Summary Stage (2004+) [ https://seer.cancer.gov/tools/ssm/ ]."
* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category.
Data not available [http://statecancerprofiles.cancer.gov/datanotavailable.html] for this combination of data selections.
Source: SEER and NPCR data. For more specific information please see the table.

Data for the United States does not include data from Indiana.
Data for the United States does not include Puerto Rico.
