State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
US (SEER+NPCR)(1),0,10,9.7,10.3,N/A , N/A , N/A,944,stable,-0.7,-5.5,0.7
Kentucky(7),21000,12.4,7.1,20.1,1,1,30,4,*,*,*,*
North Carolina(6),37000,12.3,9.4,15.8,2,1,25,15,*,*,*,*
Florida(6),12000,12,10.3,13.8,3,1,20,39,rising,2.8,0.8,5.9
Louisiana(7),22000,11.9,7.2,18.4,4,1,30,4,*,*,*,*
Minnesota(6),27000,11.8,8.7,15.6,5,1,27,13,*,*,*,*
Kansas(6),20000,11.5,6.5,18.4,6,1,30,4,*,*,*,*
Utah(7),49000,11.4,6.6,17.9,7,1,30,4,*,*,*,*
Illinois(7),17000,11.3,9.7,13,8,1,23,40,stable,1.2,-1.2,4.4
New Jersey(7),34000,11.2,9.8,12.7,9,2,23,48,stable,-9.2,-20,1.9
Georgia(7),13000,11.2,9.1,13.6,10,1,25,22,stable,2,-1.4,7.3
Oregon(6),41000,11,8,14.8,11,1,29,10,*,*,*,*
Hawaii(7),15000,11,9.8,12.3,12,2,22,62,stable,0.3,-0.3,1.1
Texas(7),48000,10.9,9.7,12.2,13,3,22,71,stable,0.8,-0.3,2.5
Oklahoma(6),40000,10.7,6.1,17.2,14,1,30,4,*,*,*,*
Washington(5),53000,10.6,9,12.4,15,2,25,35,stable,-0.5,-1.6,0.9
Maryland(6),24000,10.5,8.6,12.8,16,2,27,21,rising,4.5,2.2,8.1
New York(7),36000,10.5,9.5,11.5,17,5,24,93,stable,1,-0.2,2.5
Tennessee(6),47000,9.9,6.3,14.8,18,1,30,5,*,*,*,*
Massachusetts(7),25000,9.8,7.9,12,19,3,28,21,stable,1.6,-1,5
Wisconsin(6),55000,9.7,6.3,14.4,20,1,30,7,*,*,*,*
California(7),6000,9.6,9.1,10.1,21,13,25,299,stable,0.1,-0.5,0.7
Missouri(6),29000,9.5,6.4,13.7,22,1,30,6,*,*,*,*
Arizona(6),4000,9.5,6.9,12.6,23,2,30,10,*,*,*,*
Pennsylvania(6),42000,9.4,7.5,11.6,24,4,29,19,*,*,*,*
Nevada(6),32000,9,6.9,11.6,25,4,29,13,*,*,*,*
Connecticut(7),9000,8.6,5.6,12.5,26,2,30,6,*,*,*,*
Michigan(6),26000,7.6,5.6,10.1,27,12,30,11,*,*,*,*
Virginia(6),51000,7.6,6.1,9.3,28,18,30,20,stable,-1.2,-4.9,3.4
Colorado(6),8000,6.7,4.2,10.1,29,9,30,5,*,*,*,*
Ohio(6),39000,5.8,4.1,8,30,23,30,8,*,*,*,*
Alabama(6),1000,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Alaska(6),2900,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Arkansas(6),5000,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Delaware(6),10000,* ,*, *,* , * , *,3 or fewer,*,*,*,*
District of Columbia(6),11001,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Idaho(7),16000,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Indiana(6),18000,data not available ,data not available, data not available,N/A , N/A , N/A,data not available,data not available,data not available,data not available,data not available
Iowa(7),19000,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Maine(6),23000,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Mississippi(6),28000,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Montana(6),30000,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Nebraska(6),31000,* ,*, *,* , * , *,3 or fewer,*,*,*,*
New Hampshire(6),33000,* ,*, *,* , * , *,3 or fewer,*,*,*,*
New Mexico(7),35000,* ,*, *,* , * , *,3 or fewer,*,*,*,*
North Dakota(6),38000,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Puerto Rico(6),72001,[P3 note] ,[P3 note], [P3 note],N/A , N/A , N/A,[P3 note],[P3 note],[P3 note],[P3 note],[P3 note]
Rhode Island(6),44000,* ,*, *,* , * , *,3 or fewer,*,*,*,*
South Carolina(6),45000,* ,*, *,* , * , *,3 or fewer,*,*,*,*
South Dakota(6),46000,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Vermont(6),50000,* ,*, *,* , * , *,3 or fewer,*,*,*,*
West Virginia(6),54000,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Wyoming(6),56000,* ,*, *,* , * , *,3 or fewer,*,*,*,*
