State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,12 ,11.9, 12,N/A , N/A , N/A,47920,stable,-0.1 ,-0.8, 0.4
"West Virginia(6)",54000,14.4 ,13.7, 15.1,1 , 1 , 8,364,rising,1.9 ,1.2, 2.6
"Iowa(7)",19000,14.4 ,13.8, 14.9,2 , 1 , 7,576,rising,2.2 ,1.5, 4.0
"Florida(6)",12000,14.2 ,14, 14.4,3 , 1 , 6,4336,stable,0.3 ,0.0, 0.6
"Maine(6)",23000,14.1 ,13.4, 14.9,4 , 1 , 15,289,stable,1.5 ,-0.1, 3.8
"Kentucky(7)",21000,14 ,13.6, 14.5,5 , 1 , 8,795,rising,1.2 ,0.9, 1.5
"Oklahoma(6)",40000,13.5 ,13, 14,6 , 3 , 20,635,rising,0.8 ,0.1, 1.5
"Arkansas(6)",05000,13.3 ,12.7, 13.8,7 , 4 , 24,500,rising,1.2 ,0.7, 1.7
"Louisiana(7)",22000,13.2 ,12.7, 13.6,8 , 5 , 24,742,rising,0.7 ,0.4, 1.0
"Alaska(6)",02900,13 ,11.9, 14.3,9 , 1 , 40,103,rising,1.3 ,0.1, 2.6
"Tennessee(6)",47000,13 ,12.6, 13.3,10 , 6 , 25,1122,falling,-1.6 ,-2.5, -0.4
"Nebraska(6)",31000,13 ,12.3, 13.6,11 , 4 , 31,302,rising,1.2 ,0.5, 1.8
"Mississippi(6)",28000,12.9 ,12.4, 13.5,12 , 5 , 29,472,stable,0.2 ,-0.3, 0.9
"Vermont(6)",50000,12.8 ,11.8, 14,13 , 1 , 39,116,stable,1.0 ,0.0, 2.2
"Washington(5)",53000,12.8 ,12.5, 13.2,14 , 7 , 26,1173,rising,1.1 ,0.8, 1.4
"South Carolina(6)",45000,12.8 ,12.4, 13.2,15 , 6 , 28,858,stable,0.3 ,-0.1, 0.8
"North Carolina(6)",37000,12.8 ,12.6, 13.1,16 , 7 , 26,1661,rising,0.9 ,0.4, 1.4
"Wisconsin(6)",55000,12.8 ,12.4, 13.2,17 , 7 , 27,986,rising,1.1 ,0.6, 1.7
"Minnesota(6)",27000,12.8 ,12.4, 13.2,18 , 6 , 28,899,rising,1.1 ,0.7, 1.7
"Missouri(6)",29000,12.8 ,12.4, 13.2,19 , 7 , 27,1002,rising,0.9 ,0.4, 1.5
"Ohio(6)",39000,12.8 ,12.5, 13,20 , 8 , 26,1940,rising,1.8 ,1.6, 2.1
"Hawaii(7)",15000,12.7 ,12, 13.5,21 , 5 , 36,238,rising,0.6 ,0.2, 1.1
"Georgia(7)",13000,12.7 ,12.4, 13,22 , 9 , 28,1553,stable,1.0 ,-1.4, 3.1
"North Dakota(6)",38000,12.7 ,11.6, 13.8,23 , 2 , 41,113,stable,0.9 ,-0.3, 2.3
"New Hampshire(6)",33000,12.6 ,11.9, 13.3,24 , 5 , 38,244,rising,0.9 ,0.3, 1.6
"Pennsylvania(6)",42000,12.3 ,12.1, 12.6,25 , 19 , 33,2150,falling,-1.5 ,-2.9, -0.2
"South Dakota(6)",46000,12.2 ,11.2, 13.2,26 , 6 , 44,131,stable,1.1 ,-0.3, 2.5
"Illinois(7)",17000,12.1 ,11.9, 12.4,27 , 22 , 35,1918,stable,-0.3 ,-2.5, 0.8
"Oregon(6)",41000,12.1 ,11.7, 12.5,28 , 18 , 37,660,falling,-1.1 ,-3.0, -0.1
"Montana(6)",30000,12.1 ,11.3, 13,29 , 7 , 43,173,stable,0.4 ,-0.4, 1.2
"Connecticut(7)",09000,12.1 ,11.6, 12.5,30 , 17 , 38,580,stable,-1.6 ,-3.5, 1.1
"Alabama(6)",01000,12 ,11.7, 12.4,31 , 20 , 38,769,falling,-0.6 ,-2.2, -0.1
"Delaware(6)",10000,12 ,11.2, 12.9,32 , 8 , 43,162,stable,0.7 ,-0.1, 1.7
"Idaho(7)",16000,11.9 ,11.3, 12.6,33 , 11 , 42,263,stable,0.4 ,-0.4, 1.2
