Incidence Rate Report by State

"Lung & Bronchus (All Stages^), 2017-2021"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,53.1 ,53, 53.2,N/A , N/A , N/A,216523,falling,-3.5 ,-4.2, -2.9
"Kentucky(7)",21000,84.5 ,83.4, 85.6,1 , 1 , 1,4951,falling,-1.8 ,-2.3, -1.4
"West Virginia(6)",54000,76.1 ,74.6, 77.6,2 , 2 , 2,2067,falling,-1.0 ,-1.3, -0.7
"Mississippi(6)",28000,68.9 ,67.7, 70.1,3 , 3 , 7,2595,falling,-3.3 ,-4.5, -1.1
"Arkansas(6)",05000,68.2 ,67.1, 69.4,4 , 3 , 7,2698,falling,-1.0 ,-1.4, -0.6
"Tennessee(6)",47000,68.1 ,67.3, 68.9,5 , 3 , 7,6049,falling,-4.5 ,-6.3, -3.2
"Missouri(6)",29000,67.3 ,66.5, 68.1,6 , 4 , 7,5468,falling,-3.6 ,-5.2, -2.1
"Maine(6)",23000,67.3 ,65.7, 68.9,7 , 3 , 7,1441,falling,-3.0 ,-5.4, -0.8
"Ohio(6)",39000,64.3 ,63.7, 64.8,8 , 8 , 9,10119,falling,-2.6 ,-3.7, -1.6
"Oklahoma(6)",40000,63.3 ,62.3, 64.4,9 , 8 , 10,3075,falling,-1.7 ,-2.1, -1.3
"North Carolina(6)",37000,62.6 ,62, 63.2,10 , 9 , 11,8317,falling,-3.9 ,-4.8, -3.1
"Louisiana(7)",22000,61.1 ,60.2, 62,11 , 10 , 14,3522,falling,-1.9 ,-2.5, -1.6
"Iowa(7)",19000,60.8 ,59.7, 61.9,12 , 11 , 14,2553,falling,-1.0 ,-1.9, -0.6
"Rhode Island(6)",44000,60.1 ,58.3, 61.9,13 , 10 , 19,887,falling,-4.6 ,-6.9, -2.9
"New Hampshire(6)",33000,59.3 ,57.7, 60.9,14 , 11 , 20,1169,falling,-3.7 ,-5.9, -1.3
"Michigan(6)",26000,58.8 ,58.3, 59.4,15 , 13 , 18,8012,falling,-4.6 ,-6.6, -2.7
"South Carolina(6)",45000,58.4 ,57.6, 59.2,16 , 13 , 20,4066,falling,-5.0 ,-7.5, -3.2
"Alabama(6)",01000,58.4 ,57.5, 59.2,17 , 13 , 20,3892,falling,-2.3 ,-2.7, -2.0
"Illinois(7)",17000,58.3 ,57.8, 58.9,18 , 14 , 20,9298,falling,-1.9 ,-2.3, -1.6
"Pennsylvania(6)",42000,57.8 ,57.3, 58.3,19 , 16 , 20,10599,falling,-4.0 ,-4.9, -3.2
"Georgia(7)",13000,56.8 ,56.2, 57.4,20 , 19 , 24,6873,falling,-4.1 ,-5.3, -2.7
"Massachusetts(7)",25000,56.6 ,55.9, 57.3,21 , 19 , 24,5182,falling,-5.9 ,-8.1, -2.6
"Delaware(6)",10000,55.9 ,54.1, 57.7,22 , 17 , 30,798,falling,-4.5 ,-9.4, -2.4
"Wisconsin(6)",55000,55.7 ,55, 56.5,23 , 20 , 27,4397,falling,-3.4 ,-4.8, -2.3
"North Dakota(6)",38000,55.7 ,53.5, 58,24 , 15 , 32,512,stable,-0.3 ,-1.0, 0.4
"Connecticut(7)",09000,55.3 ,54.3, 56.2,25 , 21 , 29,2677,falling,-1.4 ,-1.8, -1.1
"South Dakota(6)",46000,54.7 ,52.7, 56.7,26 , 20 , 33,620,falling,-3.1 ,-5.2, -0.7
"Minnesota(6)",27000,54.4 ,53.6, 55.2,27 , 23 , 31,3877,falling,-2.2 ,-3.8, -0.5
"Florida(6)",12000,54.3 ,54, 54.7,28 , 25 , 30,17832,falling,-3.1 ,-4.6, -1.9
"Vermont(6)",50000,54 ,51.9, 56.2,29 , 20 , 34,518,falling,-2.4 ,-3.1, -1.9
"New York(7)",36000,53.5 ,53.1, 53.9,30 , 27 , 32,13922,falling,-3.2 ,-4.2, -2.3
"Alaska(6)",02900,52.6 ,50.2, 55.2,31 , 22 , 36,382,falling,-2.7 ,-4.1, -2.3
"Kansas(6)",20000,52.2 ,51.1, 53.3,32 , 29 , 34,1899,falling,-1.7 ,-2.7, -1.4
"Nebraska(6)",31000,52.2 ,50.9, 53.5,33 , 28 , 34,1251,falling,-1.2 ,-1.5, -0.9
"Virginia(6)",51000,51.3 ,50.7, 51.9,34 , 31 , 35,5461,falling,-2.2 ,-2.7, -1.9
"Maryland(6)",24000,50 ,49.2, 50.7,35 , 34 , 37,3830,falling,-4.0 ,-6.3, -2.0
"New Jersey(7)",34000,49.1 ,48.6, 49.7,36 , 35 , 37,5808,falling,-2.1 ,-2.6, -1.9
"Washington(5)",53000,49 ,48.4, 49.7,37 , 35 , 38,4513,falling,-2.5 ,-4.0, -2.1
"Oregon(6)",41000,47.7 ,46.9, 48.5,38 , 37 , 39,2703,falling,-6.1 ,-8.4, -4.5
