Incidence Rate Report by State

"Brain & ONS (All Stages^), 2017-2021"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Name

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,6.3 ,6.3, 6.3,N/A , N/A , N/A,22899,falling,-1.8 ,-2.5, -1.3
"Alabama(6)",01000,6.6 ,6.3, 6.9,21 , 6 , 34,381,stable,-0.1 ,-0.9, 0.6
"Alaska(6)",02900,6.1 ,5.3, 7,32 , 2 , 49,46,stable,-0.7 ,-2.6, 1.3
"Arizona(6)",04000,6.1 ,5.9, 6.4,36 , 23 , 45,497,falling,-1.4 ,-2.4, -0.9
"Arkansas(6)",05000,6.5 ,6.1, 6.9,23 , 6 , 40,226,stable,-0.5 ,-3.8, 0.6
"California(7)",06000,5.8 ,5.7, 5.9,43 , 37 , 47,2469,falling,-0.6 ,-2.0, -0.4
"Colorado(6)",08000,6.2 ,6, 6.5,31 , 18 , 43,385,stable,-0.8 ,-1.5, 0.0
"Connecticut(7)",09000,7 ,6.7, 7.4,9 , 1 , 25,297,stable,-0.2 ,-0.5, 0.1
"Delaware(6)",10000,6.4 ,5.7, 7.1,26 , 2 , 48,75,falling,-1.5 ,-6.0, -0.5
"District of Columbia(6)",11001,5.3 ,4.5, 6.1,49 , 21 , 50,36,stable,-0.4 ,-2.3, 1.4
"Florida(6)",12000,6.7 ,6.6, 6.9,18 , 9 , 25,1771,falling,-0.4 ,-0.6, -0.1
"Georgia(7)",13000,5.8 ,5.6, 6,41 , 32 , 48,662,falling,-1.0 ,-2.3, -0.6
"Hawaii(7)",15000,4.2 ,3.7, 4.7,50 , 49 , 50,69,stable,-0.5 ,-1.0, 0.1
"Idaho(7)",16000,6.9 ,6.4, 7.4,12 , 1 , 36,136,stable,-0.5 ,-1.6, 0.5
"Illinois(7)",17000,6.1 ,5.9, 6.3,35 , 26 , 43,869,falling,-0.8 ,-2.1, -0.4
"Iowa(7)",19000,6.7 ,6.4, 7.2,15 , 2 , 34,246,falling,-6.1 ,-10.0, -1.2
"Kansas(6)",20000,6.3 ,6, 6.8,28 , 10 , 43,206,stable,-0.5 ,-1.3, 0.2
"Kentucky(7)",21000,7.1 ,6.8, 7.5,5 , 1 , 21,363,stable,-1.2 ,-4.8, 0.0
"Louisiana(7)",22000,5.7 ,5.4, 6,45 , 32 , 49,294,stable,-0.1 ,-0.6, 0.3
"Maine(6)",23000,7.3 ,6.7, 7.9,4 , 1 , 28,125,stable,-0.6 ,-1.8, 0.5
"Maryland(6)",24000,6.1 ,5.8, 6.4,38 , 23 , 46,419,stable,-0.6 ,-1.3, 0.0
"Massachusetts(7)",25000,6.6 ,6.3, 6.8,22 , 8 , 33,523,falling,-7.0 ,-11.8, -2.2
"Michigan(6)",26000,6.1 ,5.9, 6.3,37 , 25 , 44,712,falling,-4.5 ,-7.9, -1.0
"Minnesota(6)",27000,7 ,6.7, 7.3,10 , 2 , 24,441,stable,0.6 ,-0.1, 1.3
"Mississippi(6)",28000,5.7 ,5.3, 6.1,46 , 30 , 49,187,stable,-0.5 ,-1.6, 0.5
"Missouri(6)",29000,6.6 ,6.4, 6.9,20 , 6 , 32,467,stable,-0.4 ,-1.0, 0.1
"Montana(6)",30000,7.3 ,6.6, 8.1,3 , 1 , 29,93,stable,-0.3 ,-1.1, 0.5
"Nebraska(6)",31000,7.1 ,6.6, 7.7,6 , 1 , 27,152,stable,0.0 ,-0.6, 0.7
"Nevada(6)",32000,5.5 ,5.2, 5.9,47 , 34 , 49,188,stable,-0.9 ,-1.8, 0.1
"New Hampshire(6)",33000,7.5 ,6.9, 8.2,1 , 1 , 22,125,stable,0.0 ,-1.1, 1.0
"New Jersey(7)",34000,6.6 ,6.4, 6.9,19 , 7 , 30,699,falling,-0.6 ,-0.9, -0.3
"New Mexico(7)",35000,5.5 ,5.1, 5.9,48 , 31 , 49,134,stable,-0.1 ,-0.6, 0.4
"New York(7)",36000,6.2 ,6.1, 6.4,30 , 23 , 38,1420,falling,-0.7 ,-0.9, -0.5
"North Carolina(6)",37000,6.4 ,6.1, 6.6,27 , 17 , 37,741,stable,-0.5 ,-1.0, 0.1
"North Dakota(6)",38000,6.1 ,5.4, 6.9,34 , 3 , 49,51,stable,-0.9 ,-2.3, 0.6
"Ohio(6)",39000,6.7 ,6.5, 6.9,16 , 7 , 27,909,stable,-0.2 ,-0.9, 0.4
"Oklahoma(6)",40000,6.3 ,5.9, 6.6,29 , 13 , 44,271,falling,-0.9 ,-1.4, -0.5
"Oregon(6)",41000,6.5 ,6.2, 6.8,25 , 9 , 39,317,falling,-3.0 ,-5.6, -1.7
"Pennsylvania(6)",42000,6.9 ,6.7, 7.1,13 , 4 , 23,1057,falling,-2.4 ,-4.4, -0.5
"Puerto Rico(6)",72001,4 ,3.7, 4.4,N/A , N/A , N/A,144,falling,-1.9 ,-4.5, -0.7
"Rhode Island(6)",44000,6.7 ,6.1, 7.4,17 , 1 , 44,85,stable,-1.2 ,-2.4, 0.1
"South Carolina(6)",45000,6.1 ,5.8, 6.4,33 , 20 , 46,370,stable,-0.7 ,-1.3, 0.0
"South Dakota(6)",46000,5.7 ,5, 6.5,44 , 13 , 49,55,stable,-1.1 ,-2.5, 0.3
"Tennessee(6)",47000,6.5 ,6.3, 6.8,24 , 9 , 35,504,stable,-0.4 ,-1.0, 0.2
"Texas(7)",48000,6.1 ,5.9, 6.2,39 , 29 , 43,1771,falling,-2.3 ,-3.9, -0.8
"Utah(7)",49000,7.1 ,6.7, 7.5,8 , 1 , 26,216,stable,0.0 ,-0.4, 0.4
"Vermont(6)",50000,7.5 ,6.6, 8.5,2 , 1 , 35,58,stable,-0.2 ,-1.8, 1.5
"Virginia(6)",51000,5.8 ,5.6, 6.1,40 , 31 , 48,559,falling,-5.9 ,-10.7, -0.7
"Washington(5)",53000,7.1 ,6.8, 7.4,7 , 1 , 18,594,stable,-0.4 ,-0.9, 0.0
"West Virginia(6)",54000,6.8 ,6.3, 7.3,14 , 1 , 38,148,stable,-0.7 ,-1.5, 0.1
"Wisconsin(6)",55000,6.9 ,6.6, 7.2,11 , 3 , 26,471,falling,-1.2 ,-4.5, -0.5
"Wyoming(6)",56000,5.8 ,5, 6.7,42 , 5 , 49,37,stable,-1.2 ,-3.3, 0.9
"Indiana(6)",18000,data not available ,data not available, data not available,N/A , N/A , N/A,data not available,data not available,data not available,data not available,data not available

Created by statecancerprofiles.cancer.gov on 11/03/2025 4:55 pm.

State Cancer Registries may provide more current or more local data.
"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) Summary/Historic Combined Summary Stage (2004+) [ https://seer.cancer.gov/tools/ssm/ ]."
"[rank note]Results presented with the CI*Rank statistics help show the usefulness of ranks. For example, ranks for relatively rare diseases or less populated areas may be essentially meaningless because of their large variability, but ranks for more common diseases in densely populated regions can be very useful. More information about methodology can be found on the CI*Rank website."
Data not available [http://statecancerprofiles.cancer.gov/datanotavailable.html] for this combination of data selections.
Source: SEER and NPCR data. For more specific information please see the table.

Data for the United States does not include data from Indiana.
Data for the United States does not include Puerto Rico.
CI*Rank data for Puerto Rico is not available.
