Incidence Rate Report by State

"Colon & Rectum (All Stages^), 2017-2021"

"All Races (includes Hispanic), Female, All Ages"

Sorted by CI*Rank

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,32.1 ,31.9, 32.2,N/A , N/A , N/A,65900,falling,-1.0 ,-1.1, -0.8
"Mississippi(6)",28000,40.1 ,38.8, 41.4,1 , 1 , 5,771,falling,-2.8 ,-4.4, -1.4
"Kentucky(7)",21000,39.6 ,38.5, 40.7,2 , 1 , 5,1150,stable,-0.8 ,-1.5, 1.2
"West Virginia(6)",54000,39.2 ,37.6, 40.8,3 , 1 , 6,511,stable,-0.6 ,-1.6, 2.1
"Louisiana(7)",22000,38.7 ,37.7, 39.7,4 , 1 , 6,1122,stable,0.5 ,-0.9, 2.4
"Alaska(6)",02900,38.1 ,35.2, 41.2,5 , 1 , 18,135,falling,-1.4 ,-2.2, -0.5
"Arkansas(6)",05000,36.2 ,35, 37.5,6 , 4 , 14,714,falling,-0.8 ,-1.5, -0.2
"Iowa(7)",19000,36.2 ,35, 37.4,7 , 4 , 14,762,stable,-0.9 ,-1.8, 1.0
"South Dakota(6)",46000,35.5 ,33.2, 37.9,8 , 3 , 24,199,stable,-1.2 ,-7.4, 2.7
"Nebraska(6)",31000,35.2 ,33.7, 36.8,9 , 5 , 21,419,falling,-4.9 ,-7.2, -3.4
"Alabama(6)",01000,35.2 ,34.3, 36.1,10 , 6 , 18,1175,falling,-1.1 ,-1.5, -0.7
"Oklahoma(6)",40000,35 ,33.9, 36.1,11 , 6 , 20,846,stable,0.0 ,-2.9, 2.6
"Kansas(6)",20000,34.8 ,33.5, 36.1,12 , 6 , 21,625,stable,0.0 ,-3.4, 3.5
"North Dakota(6)",38000,34.4 ,31.9, 37,13 , 5 , 36,158,falling,-1.4 ,-2.3, -0.6
"Missouri(6)",29000,34.3 ,33.5, 35.2,14 , 8 , 21,1392,stable,-0.8 ,-2.6, 1.6
"Ohio(6)",39000,34.2 ,33.6, 34.8,15 , 9 , 20,2706,falling,-2.0 ,-3.2, -1.2
"Georgia(7)",13000,34.2 ,33.5, 34.8,16 , 9 , 20,2153,stable,-0.6 ,-1.6, 1.8
"New Jersey(7)",34000,33.8 ,33.2, 34.5,17 , 10 , 22,2102,stable,0.5 ,-1.8, 1.8
"Tennessee(6)",47000,33.8 ,33, 34.6,18 , 9 , 22,1494,stable,-0.8 ,-1.5, 0.8
"Illinois(7)",17000,33.7 ,33.1, 34.3,19 , 11 , 22,2782,falling,-2.2 ,-2.5, -1.9
"Pennsylvania(6)",42000,33.1 ,32.6, 33.7,20 , 16 , 24,3064,falling,-1.6 ,-1.9, -1.2
"Hawaii(7)",15000,32.4 ,30.7, 34.1,21 , 10 , 41,315,falling,-1.4 ,-1.7, -1.0
"Maine(6)",23000,32.1 ,30.5, 33.8,22 , 12 , 41,328,stable,-0.5 ,-1.8, 1.7
"Maryland(6)",24000,32 ,31.2, 32.8,23 , 19 , 35,1269,stable,-0.6 ,-1.5, 1.6
"Minnesota(6)",27000,31.9 ,31.1, 32.8,24 , 19 , 37,1136,stable,-0.7 ,-1.7, 1.5
"Texas(7)",48000,31.9 ,31.5, 32.3,25 , 21 , 32,4926,stable,0.0 ,-0.3, 0.4
"Michigan(6)",26000,31.6 ,31, 32.3,26 , 21 , 36,2117,falling,-3.9 ,-6.3, -1.8
"New York(7)",36000,31.4 ,31, 31.9,27 , 22 , 36,4234,falling,-1.1 ,-1.8, -0.1
"Montana(6)",30000,31.4 ,29.5, 33.4,28 , 14 , 45,221,falling,-2.1 ,-2.7, -1.5
"Florida(6)",12000,31.4 ,31, 31.8,29 , 23 , 36,4991,falling,-0.8 ,-1.2, -0.3
"Idaho(7)",16000,31.4 ,29.8, 33,30 , 17 , 44,331,stable,3.2 ,-1.2, 6.0
"North Carolina(6)",37000,31.3 ,30.7, 31.9,31 , 22 , 38,2102,falling,-1.5 ,-2.8, -0.7
"District of Columbia(6)",11001,31.2 ,28.6, 33.9,32 , 10 , 49,114,falling,-3.0 ,-4.1, -1.9
"South Carolina(6)",45000,31 ,30.2, 31.9,33 , 22 , 42,1059,stable,-1.4 ,-2.2, 0.8
"Wisconsin(6)",55000,31 ,30.2, 31.8,34 , 22 , 41,1189,stable,-1.1 ,-1.9, 0.8
"Washington(5)",53000,30.8 ,30.1, 31.6,35 , 23 , 42,1395,stable,-0.8 ,-1.8, 1.6
"New Hampshire(6)",33000,30.5 ,28.9, 32.2,36 , 20 , 47,289,falling,-2.8 ,-3.5, -2.0
"Wyoming(6)",56000,30.5 ,27.8, 33.3,37 , 12 , 49,106,stable,1.1 ,-1.8, 7.4
"Virginia(6)",51000,30.3 ,29.7, 31,38 , 29 , 44,1627,stable,-1.1 ,-2.9, 0.6
"Connecticut(7)",09000,30.1 ,29.1, 31.2,39 , 26 , 45,747,stable,-1.2 ,-2.7, 1.7
"Nevada(6)",32000,30 ,28.9, 31.2,40 , 26 , 46,547,falling,-2.4 ,-3.0, -1.8
"California(7)",06000,29.9 ,29.6, 30.2,41 , 35 , 44,6976,falling,-0.9 ,-1.4, -0.3
"Delaware(6)",10000,29.7 ,27.9, 31.7,42 , 21 , 49,207,falling,-2.6 ,-3.3, -2.0
"Oregon(6)",41000,29.2 ,28.2, 30.1,43 , 35 , 48,797,stable,-1.1 ,-2.0, 0.7
"New Mexico(7)",35000,29 ,27.7, 30.4,44 , 33 , 49,393,falling,-1.0 ,-1.3, -0.6
"Rhode Island(6)",44000,28.7 ,27, 30.6,45 , 30 , 50,222,falling,-3.4 ,-4.1, -2.6
