Incidence Rate Report by State

"Colon & Rectum (All Stages^), 2017-2021"

"All Races (includes Hispanic), Male, All Ages"

Sorted by CI*Rank

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,41.3 ,41.2, 41.5,N/A , N/A , N/A,74188,falling,-1.2 ,-1.5, -0.9
"Mississippi(6)",28000,53.9 ,52.3, 55.6,1 , 1 , 3,880,falling,-1.1 ,-1.6, -0.7
"Kentucky(7)",21000,53.1 ,51.8, 54.4,2 , 1 , 3,1351,falling,-1.8 ,-2.0, -1.5
"Louisiana(7)",22000,51.4 ,50.1, 52.7,3 , 1 , 4,1297,stable,-0.6 ,-1.7, 1.5
"West Virginia(6)",54000,49.8 ,48, 51.7,4 , 2 , 5,588,stable,-1.0 ,-1.8, 1.5
"Arkansas(6)",05000,46.7 ,45.2, 48.2,5 , 4 , 14,801,stable,0.0 ,-1.6, 4.1
"Oklahoma(6)",40000,46.3 ,45, 47.6,6 , 5 , 15,989,stable,-0.5 ,-1.5, 2.1
"Alabama(6)",01000,46.1 ,45, 47.3,7 , 5 , 14,1308,falling,-1.8 ,-2.2, -1.5
"Georgia(7)",13000,45.8 ,44.9, 46.6,8 , 5 , 14,2468,falling,-0.7 ,-1.3, -0.1
"Alaska(6)",02900,45.3 ,42, 48.8,9 , 4 , 29,168,falling,-2.2 ,-3.1, -1.2
"Texas(7)",48000,45 ,44.4, 45.5,10 , 7 , 17,6206,stable,-0.3 ,-1.0, 0.9
"Illinois(7)",17000,44.9 ,44.2, 45.6,11 , 7 , 18,3146,falling,-2.0 ,-2.6, -1.1
"Tennessee(6)",47000,44.5 ,43.5, 45.5,12 , 7 , 21,1707,stable,-0.9 ,-1.9, 1.4
"Ohio(6)",39000,44.4 ,43.7, 45.1,13 , 8 , 20,3001,stable,-1.1 ,-1.8, 0.2
