Incidence Rate Report by State

"Colon & Rectum (All Stages^), 2017-2021"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Compared by Cancer

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,36.4 ,36.3, 36.4,N/A , N/A , N/A,140088,falling,-1.1 ,-1.3, -0.9
"Mississippi(6)",28000,46.4 ,45.4, 47.4,1 , 1 , 3,1651,falling,-1.0 ,-1.2, -0.7
"Kentucky(7)",21000,45.9 ,45, 46.7,2 , 1 , 3,2500,stable,-1.1 ,-1.7, 0.3
"Louisiana(7)",22000,44.5 ,43.7, 45.3,3 , 2 , 5,2419,stable,0.1 ,-1.1, 1.8
"West Virginia(6)",54000,44.3 ,43.1, 45.5,4 , 1 , 5,1100,stable,-0.7 ,-1.4, 0.7
"Alaska(6)",02900,41.6 ,39.4, 43.9,5 , 3 , 18,302,falling,-1.8 ,-2.3, -1.2
"Arkansas(6)",05000,41.1 ,40.2, 42.1,6 , 5 , 10,1515,stable,-0.2 ,-1.2, 2.6
"Oklahoma(6)",40000,40.3 ,39.4, 41.1,7 , 5 , 14,1835,stable,-0.4 ,-1.5, 2.1
"Alabama(6)",01000,40.1 ,39.4, 40.8,8 , 5 , 14,2483,falling,-1.8 ,-2.9, -1.3
"Iowa(7)",19000,39.9 ,39, 40.8,9 , 5 , 18,1561,stable,-1.5 ,-2.2, 0.2
"South Dakota(6)",46000,39.5 ,37.7, 41.3,10 , 5 , 23,417,stable,-1.7 ,-2.4, 0.3
"Georgia(7)",13000,39.4 ,38.9, 39.9,11 , 7 , 18,4621,stable,-0.5 ,-2.1, 0.7
"Nebraska(6)",31000,39.2 ,38, 40.4,12 , 6 , 22,880,falling,-3.6 ,-5.5, -2.5
"Kansas(6)",20000,39 ,38, 39.9,13 , 7 , 21,1325,stable,-0.5 ,-1.9, 2.1
"Missouri(6)",29000,38.9 ,38.3, 39.6,14 , 9 , 20,2938,stable,-0.7 ,-1.9, 1.6
"Ohio(6)",39000,38.9 ,38.4, 39.3,15 , 10 , 19,5707,falling,-1.9 ,-3.2, -1.3
"Illinois(7)",17000,38.8 ,38.4, 39.3,16 , 10 , 20,5928,falling,-1.8 ,-2.3, -0.5
"Tennessee(6)",47000,38.7 ,38.1, 39.4,17 , 9 , 21,3201,stable,-0.8 ,-1.5, 0.6
"North Dakota(6)",38000,38.7 ,36.8, 40.7,18 , 5 , 26,337,falling,-2.1 ,-3.0, -1.4
"Hawaii(7)",15000,38.1 ,36.8, 39.5,19 , 8 , 25,707,stable,1.2 ,-1.9, 3.0
"Texas(7)",48000,37.9 ,37.6, 38.3,20 , 16 , 23,11132,stable,-0.1 ,-0.5, 0.2
"New Jersey(7)",34000,37.9 ,37.4, 38.4,21 , 16 , 23,4322,stable,0.5 ,-1.3, 1.6
"Pennsylvania(6)",42000,37.2 ,36.8, 37.6,22 , 20 , 25,6343,falling,-1.9 ,-2.5, -0.5
"Puerto Rico(6)",72001,37.2 ,36.4, 38.1,N/A , N/A , N/A,1559,falling,-3.1 ,-4.6, -1.3
"Montana(6)",30000,36.7 ,35.2, 38.2,23 , 14 , 36,507,falling,-1.9 ,-2.5, -1.3
"Minnesota(6)",27000,36.1 ,35.4, 36.7,24 , 22 , 33,2414,stable,-0.7 ,-1.5, 1.1
"District of Columbia(6)",11001,36.1 ,34, 38.2,25 , 12 , 43,237,falling,-2.6 ,-3.4, -1.9
"Florida(6)",12000,35.7 ,35.4, 36,26 , 23 , 33,10682,falling,-1.1 ,-1.5, -0.6
"New York(7)",36000,35.7 ,35.3, 36,27 , 23 , 33,8808,falling,-1.1 ,-1.5, -0.5
"South Carolina(6)",45000,35.6 ,34.9, 36.3,28 , 23 , 35,2268,stable,-1.4 ,-2.3, 1.3
