Incidence Rate Report by State

"Leukemia (All Stages^), 2017-2021"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Compared by Cancer

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,14.1 ,14, 14.1,N/A , N/A , N/A,53074,falling,-1.6 ,-2.3, -1.2
"Florida(6)",12000,17.3 ,17.1, 17.6,1 , 1 , 4,5106,falling,-3.7 ,-7.1, -1.6
"Minnesota(6)",27000,17 ,16.6, 17.5,2 , 1 , 7,1139,stable,-0.5 ,-3.7, 0.5
"Idaho(7)",16000,16.7 ,15.9, 17.6,3 , 1 , 10,345,stable,0.6 ,0.0, 1.4
"Iowa(7)",19000,16.7 ,16.1, 17.3,4 , 1 , 9,655,rising,0.5 ,0.3, 0.8
"Wisconsin(6)",55000,16.6 ,16.2, 17.1,5 , 1 , 8,1206,falling,-1.0 ,-2.2, -0.2
"Kentucky(7)",21000,16.4 ,15.9, 16.9,6 , 2 , 10,873,stable,-0.4 ,-3.1, 1.5
"South Dakota(6)",46000,16.3 ,15.2, 17.4,7 , 1 , 20,172,stable,0.8 ,-0.5, 2.3
"New Jersey(7)",34000,15.8 ,15.4, 16.1,8 , 6 , 13,1743,stable,-0.4 ,-4.0, 0.9
"North Dakota(6)",38000,15.7 ,14.5, 16.9,9 , 1 , 26,138,stable,-0.2 ,-1.5, 0.5
"Montana(6)",30000,15.4 ,14.5, 16.4,10 , 3 , 25,214,stable,0.4 ,-0.2, 1.0
"West Virginia(6)",54000,15.4 ,14.7, 16.1,11 , 5 , 23,373,stable,0.4 ,-1.4, 0.9
"Utah(7)",49000,15.2 ,14.6, 15.9,12 , 6 , 23,442,rising,0.9 ,0.6, 1.3
"Connecticut(7)",09000,15.2 ,14.7, 15.7,13 , 7 , 21,677,rising,0.8 ,0.4, 1.2
"Maine(6)",23000,15.1 ,14.3, 16,14 , 6 , 27,284,falling,-0.9 ,-2.6, -0.3
"New York(7)",36000,15.1 ,14.9, 15.3,15 , 9 , 17,3667,falling,-2.3 ,-4.4, -1.1
"Texas(7)",48000,14.7 ,14.5, 14.9,16 , 13 , 23,4199,stable,-0.1 ,-0.3, 0.2
"Kansas(6)",20000,14.6 ,14.1, 15.3,17 , 9 , 28,495,falling,-2.9 ,-7.8, -0.5
"Pennsylvania(6)",42000,14.6 ,14.4, 14.9,18 , 12 , 24,2431,falling,-3.0 ,-4.2, -1.9
"Washington(5)",53000,14.6 ,14.2, 15,19 , 12 , 25,1266,falling,-1.1 ,-2.0, -0.6
"North Carolina(6)",37000,14.5 ,14.2, 14.8,20 , 13 , 25,1768,falling,-2.3 ,-5.4, -0.6
"Georgia(7)",13000,14.4 ,14.1, 14.8,21 , 14 , 26,1634,falling,-1.8 ,-3.9, -0.5
