Incidence Rate Report by State

"Melanoma of the Skin (All Stages^), 2017-2021"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

Compared by Sex

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,18.3 ,18.3, 18.4,N/A , N/A , N/A,35535,rising,1.6 ,1.3, 1.9
"Utah(7)",49000,34.3 ,33, 35.7,1 , 1 , 3,504,rising,3.8 ,3.5, 4.3
"Minnesota(6)",27000,34.2 ,33.3, 35.2,2 , 1 , 3,1092,stable,2.5 ,-0.1, 4.6
"Vermont(6)",50000,31.7 ,29.2, 34.4,3 , 1 , 5,134,stable,1.3 ,-0.2, 3.0
"Iowa(7)",19000,29.7 ,28.5, 30.9,4 , 3 , 5,536,rising,3.6 ,3.3, 4.0
"Nebraska(6)",31000,26.5 ,25.1, 28,5 , 5 , 12,280,stable,1.6 ,-4.5, 4.8
"South Dakota(6)",46000,26.3 ,24.2, 28.6,6 , 4 , 13,127,rising,4.4 ,2.9, 6.1
"North Dakota(6)",38000,26.2 ,23.9, 28.7,7 , 4 , 14,104,rising,11.6 ,2.3, 19.7
"Maine(6)",23000,25.3 ,23.7, 26.9,8 , 5 , 14,233,rising,2.2 ,1.0, 3.5
"Kentucky(7)",21000,24.9 ,24, 25.8,9 , 6 , 13,654,rising,2.3 ,1.7, 3.0
"Idaho(7)",16000,24.8 ,23.4, 26.3,10 , 5 , 14,250,rising,2.2 ,1.3, 3.3
"New Hampshire(6)",33000,24.7 ,23.2, 26.2,11 , 5 , 15,228,stable,0.2 ,-1.3, 1.7
"Kansas(6)",20000,23.9 ,22.8, 25.1,12 , 7 , 15,387,rising,2.6 ,2.1, 3.2
"Montana(6)",30000,23.9 ,22.1, 25.8,13 , 6 , 18,154,falling,-4.7 ,-8.6, -0.1
"Arizona(6)",04000,22.5 ,21.8, 23.1,14 , 12 , 18,987,rising,5.9 ,3.9, 12.6
"Wyoming(6)",56000,22.4 ,20.1, 25,15 , 7 , 26,74,rising,2.0 ,0.1, 4.1
"Ohio(6)",39000,22.1 ,21.6, 22.6,16 , 13 , 19,1577,rising,2.5 ,1.6, 3.5
"Washington(5)",53000,22 ,21.4, 22.7,17 , 13 , 20,969,stable,-0.3 ,-1.4, 0.2
"Wisconsin(6)",55000,21.2 ,20.5, 22,18 , 15 , 22,738,stable,1.6 ,-1.7, 2.7
"North Carolina(6)",37000,21.1 ,20.6, 21.7,19 , 16 , 22,1334,stable,1.9 ,0.0, 2.6
"West Virginia(6)",54000,20.9 ,19.7, 22.2,20 , 14 , 26,237,rising,2.0 ,1.1, 3.0
"Delaware(6)",10000,20.6 ,19, 22.3,21 , 14 , 28,138,stable,-1.9 ,-5.4, 0.0
