Incidence Rate Report by State

"Melanoma of the Skin (All Stages^), 2017-2021"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

Compared by Sex

State,FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,28.7 ,28.6, 28.8,N/A , N/A , N/A,51094,stable,-0.6 ,-2.1, 0.4
"Utah(7)",49000,50.4 ,48.6, 52.1,1 , 1 , 1,683,stable,0.5 ,-1.6, 1.9
"Minnesota(6)",27000,42.5 ,41.4, 43.5,2 , 2 , 4,1355,stable,0.1 ,-3.5, 3.9
"Arizona(6)",04000,42.1 ,41.2, 43,3 , 2 , 4,1781,stable,1.5 ,-2.7, 5.1
"Vermont(6)",50000,39.9 ,37.1, 42.9,4 , 2 , 6,165,rising,1.6 ,0.3, 3.0
"Idaho(7)",16000,38.2 ,36.5, 40.1,5 , 4 , 7,379,rising,1.8 ,1.3, 2.4
"New Hampshire(6)",33000,36.9 ,35.1, 38.9,6 , 4 , 10,323,stable,0.5 ,-0.6, 1.6
"Iowa(7)",19000,35 ,33.8, 36.3,7 , 6 , 13,634,rising,3.2 ,3.0, 3.5
"North Carolina(6)",37000,34.9 ,34.2, 35.7,8 , 6 , 11,1964,stable,1.6 ,-0.1, 2.5
"Delaware(6)",10000,34.7 ,32.5, 36.9,9 , 5 , 18,211,falling,-7.9 ,-12.0, -4.4
"Florida(6)",12000,33.9 ,33.4, 34.3,10 , 8 , 14,4863,falling,-1.6 ,-3.3, -0.5
"Kentucky(7)",21000,33.5 ,32.5, 34.6,11 , 7 , 17,834,stable,-0.4 ,-5.0, 2.2
"South Dakota(6)",46000,32.8 ,30.5, 35.2,12 , 6 , 23,170,rising,4.1 ,3.0, 5.5
"Kansas(6)",20000,32.8 ,31.5, 34.1,13 , 8 , 20,528,stable,-3.1 ,-7.1, 0.8
"Montana(6)",30000,32.7 ,30.8, 34.8,14 , 7 , 22,223,stable,1.1 ,-4.3, 2.9
"Hawaii(7)",15000,32.7 ,31, 34.4,15 , 7 , 21,300,stable,2.0 ,-10.5, 5.0
"Georgia(7)",13000,32.6 ,31.9, 33.3,16 , 11 , 18,1701,falling,-1.8 ,-5.2, -0.1
"Nebraska(6)",31000,32.3 ,30.7, 33.9,17 , 9 , 21,342,stable,0.3 ,-5.4, 5.4
"Maryland(6)",24000,32 ,31.1, 32.9,18 , 12 , 20,1057,rising,1.6 ,0.9, 2.3
